,Post Type,Profile Name,Date,Time,Likes,Text,AP,sentiment_output,sentiment_probability,English Text (Google Translate),Text_Clean,label,tokenized_review,tokenized_review,sent_bert_token_length,char_count
0,Astronaut Post,Elizabeth Menjivar,13-04-2024,03:29:29,43,Dios lo bendiga por ser un gran ser humano,POS,POS,0.997756302,God bless him for being a great human being.,dios lo bendiga por ser un gran ser humano,0,Dios lo bendiga por ser un gran ser humano,9,12,42
1,Astronaut Post,Mila Mijango,17-04-2024,17:29:01,6,"Me encanta la humanidad de nuestro astronauta, un hombre con un nivel de educación académica tan alta y mantener su humildad, NO tiene ningún precio monetario, supera todos los escamas, que orgullo de ser, ser humano bendiciones con mucho respeto muchas bendiciones",POS,POS,0.998779714,"I love the humanity of our astronaut, a man with such a high level of academic education and maintaining his humility, he has NO monetary price, he surpasses all scales, what a pride to be, a human being, blessings with much respect, many blessings",me encanta la humanidad de nuestro astronauta  un hombre con un nivel de educaci n acad mica tan alta y mantener su humildad  no tiene ning n precio monetario  supera todos los escamas  que orgullo de ser  ser humano bendiciones con mucho respeto muchas bendiciones,0,"Me encanta la humanidad de nuestro astronauta , un hombre con un nivel de educaci ó n acad é mica tan alta y mantener su humildad , NO tiene ning ú n precio monetario , supera todos los escamas , que orgullo de ser , ser humano bendiciones con mucho respeto muchas bendiciones",53,83,265
2,Astronaut Post,Any Rodríguez,13-04-2024,04:00:29,18,Dos grandes hombres haciendo historia. Gracias por permitirnos sentirnos orgullosos del país,POS,POS,0.998588622,Two great men making history. Thank you for allowing us to feel proud of the country,dos grandes hombres haciendo historia  gracias por permitirnos sentirnos orgullosos del pa s,0,Dos grandes hombres haciendo historia . Gracias por permitirnos sentirnos orgullosos del pa í s,15,28,92
3,Astronaut Post,Sara Cespedes,13-04-2024,08:22:47,136,"Nayib y Frank dos grandes ejemplo de umildad y sabiduría,Desde Sydney Australia una chilena con El Salvador en mi corazón Bendiciones",POS,POS,0.998770297,"Nayib and Frank, two great examples of humility and wisdom, from Sydney Australia, a Chilean with El Salvador in my heart Blessings",nayib y frank dos grandes ejemplo de umildad y sabidur a desde sydney australia una chilena con el salvador en mi coraz n bendiciones,0,"Nayib y Frank dos grandes ejemplo de umildad y sabidur í a , Desde Sydney Australia una chilena con El Salvador en mi coraz ó n Bendiciones",27,37,133
4,Astronaut Post,Martha Morales,13-04-2024,03:13:56,70,A Colombia  le falta  un precidente  con este    soy una fiel  seguidoras  del  precidente BUKELE,NEU,POS,0.984937728,"Colombia lacks a precedent with this one, I am a faithful follower of the president BUKELE",a colombia  le falta  un precidente  con este    soy una fiel  seguidoras  del  precidente bukele,1,A Colombia le falta un precidente con este soy una fiel seguidoras del precidente BUKELE,15,26,97
5,Astronaut Post,Elenilsom Hernandezz,13-04-2024,04:09:48,17,Grande y orgullo salvadoreño,POS,POS,0.998095691,Great and proud Salvadoran,grande y orgullo salvadore o,0,Grande y orgullo salvadore ñ o,6,7,28
6,Astronaut Post,Emelina Bonilla,13-04-2024,03:18:50,62,Sin duda dos hombres admirables que nos hacen sentir muy orgullosos a los Salvadoreños  ♥️.,POS,POS,0.998292863,Without a doubt two admirable men who make us Salvadorans feel very proud ♥️.,sin duda dos hombres admirables que nos hacen sentir muy orgullosos a los salvadore os   ,0,Sin duda dos hombres admirables que nos hacen sentir muy orgullosos a los Salvadore ñ os ♥ ️ .,19,30,89
7,Astronaut Post,Neto Grimaldi,13-04-2024,03:00:24,73,Dos Personajes triunfadores y Salvadoreños..uno ayudando a USA en la conquista del espacio y otro ayudando a la gente de su Pais en sentirse seguros ...gracias por hacernos sentir orgullosos de ser salvaoreños..a buena hora...may God bless you   both.,POS,POS,0.997821212,Two successful Salvadoran characters...one helping the USA in the conquest of space and the other helping the people of his country to feel safe...thank you for making us feel proud to be Salvadorans...at a good time...may God bless you both.,dos personajes triunfadores y salvadore os  uno ayudando a usa en la conquista del espacio y otro ayudando a la gente de su pais en sentirse seguros    gracias por hacernos sentir orgullosos de ser salvaore os  a buena hora   may god bless you   both ,0,Dos Personajes triunfadores y Salvadore ñ os . . uno ayudando a USA en la conquista del espacio y otro ayudando a la gente de su Pais en sentirse seguros . . . gracias por hacernos sentir orgullosos de ser salvaore ñ os . . a buena hora . . . may God bless you both .,57,90,251
8,Astronaut Post,Leo Scott,13-04-2024,08:54:38,11,Son un orgullo salvadoreño saludos,POS,POS,0.99645257,"You are a Salvadoran pride, greetings",son un orgullo salvadore o saludos,0,Son un orgullo salvadore ñ o saludos,7,10,34
9,Astronaut Post,Claudia Orellana,13-04-2024,12:05:15,23,El Astronauta Doctor y Coronel Frank Rubio es un orgullo salvadoreño que Dios me lo bendiga I'm so proud of you,POS,POS,0.99838686,"Astronaut Doctor and Colonel Frank Rubio is a proud Salvadoran, may God bless him. I'm so proud of you.",el astronauta doctor y coronel frank rubio es un orgullo salvadore o que dios me lo bendiga i m so proud of you,0,El Astronauta Doctor y Coronel Frank Rubio es un orgullo salvadore ñ o que Dios me lo bendiga I ' m so proud of you,25,32,111
10,Astronaut Post,Maincarb Cardona,13-04-2024,03:59:19,50,Admiro con mi corazón al presidente Bukele lo pongo en manos de Nuestro Padre Celestial para que lo bendiga y lo libre de todo mal y peligro un fuerte abrazo desde Colombia!,POS,POS,0.997493982,"I admire President Bukele with my heart, I put him in the hands of Our Heavenly Father to bless him and free him from all evil and danger, a big hug from Colombia!",admiro con mi coraz n al presidente bukele lo pongo en manos de nuestro padre celestial para que lo bendiga y lo libre de todo mal y peligro un fuerte abrazo desde colombia ,0,Admiro con mi coraz ó n al presidente Bukele lo pongo en manos de Nuestro Padre Celestial para que lo bendiga y lo libre de todo mal y peligro un fuerte abrazo desde Colombia !,35,53,173
11,Astronaut Post,Fl Tatianna Andrella,15-04-2024,17:57:50,5,Barbaro Fran orgullo salvadoreño felicidades ✨,POS,POS,0.986110091,"Barbaro Fran Salvadoran pride, congratulations ✨",barbaro fran orgullo salvadore o felicidades ,0,Barbaro Fran orgullo salvadore ñ o felicidades ✨,8,14,45
12,Astronaut Post,Maria Alicia Alas Moreno,13-04-2024,04:18:17,18,Reunión de 2 grandes!!! Con mucho orgullo Salvadoreños...,NEU,POS,0.998452187,Meeting of 2 greats!!! With great pride Salvadorans...,reuni n de 2 grandes    con mucho orgullo salvadore os   ,1,Reuni ó n de 2 grandes ! ! ! Con mucho orgullo Salvadore ñ os . . .,18,20,57
13,Astronaut Post,Aleida Araujo,13-04-2024,17:35:07,22,"Ojalá algún día muchos países de América Latina puedan tener un Presidente que de verdad trabaje para la nación que sea, Dios los bendiga. 
Viva presidente Bu kele y su equipo.",POS,POS,0.997617424,"I hope one day many Latin American countries can have a President who truly works for whatever nation, God bless them.
Long live President Bukele and his team.",ojal  alg n d a muchos pa ses de am rica latina puedan tener un presidente que de verdad trabaje para la naci n que sea  dios los bendiga   viva presidente bu kele y su equipo ,0,"Ojal á alg ú n d í a muchos pa í ses de Am é rica Latina puedan tener un Presidente que de verdad trabaje para la naci ó n que sea , Dios los bendiga . 
 
 Viva presidente Bu kele y su equipo .",45,55,176
14,Astronaut Post,Irace Rivas,13-04-2024,02:55:49,34,"Wow!!! Que hermosa reunión!!! 
Hombres increíbles, fuertes, inteligentes y humildes que todo el pueblo salvadoreño les quiere y respeta.",POS,POS,0.998675644,"Wow!!! What a beautiful meeting!!!
Incredible, strong, intelligent and humble men that all the Salvadoran people love and respect.",wow    que hermosa reuni n     hombres incre bles  fuertes  inteligentes y humildes que todo el pueblo salvadore o les quiere y respeta ,0,"Wow ! ! ! Que hermosa reuni ó n ! ! ! 
 
 Hombres incre í bles , fuertes , inteligentes y humildes que todo el pueblo salvadore ñ o les quiere y respeta .",34,46,136
15,Astronaut Post,Marisol Vargas,13-04-2024,03:09:54,18,Dos hombres que nos hacen sentir orgullosos de ser salvadoreñosbendiciones para los dos.,POS,POS,0.998566091,"Two men who make us feel proud to be Salvadorans, blessings for both of us.",dos hombres que nos hacen sentir orgullosos de ser salvadore osbendiciones para los dos ,0,Dos hombres que nos hacen sentir orgullosos de ser salvadore ñ osbendiciones para los dos .,16,26,88
