,Post Type,Profile Name,Date,Time,Likes,Text,AP,sentiment_output,sentiment_probability,English Text (Google Translate),processed_text,sentiment_numeric,tokenized_review,Text_Clean
0,Astronaut Post,Elizabeth Menjivar,13-04-2024,03:29:29,43,Dios lo bendiga por ser un gran ser humano,POS,POS,0.997756302,God bless him for being a great human being.,dio bendig ser gran ser human,0,Dios lo bendiga por ser un gran ser humano,dios lo bendiga por ser un gran ser humano
1,Astronaut Post,Mila Mijango,17-04-2024,17:29:01,6,"Me encanta la humanidad de nuestro astronauta, un hombre con un nivel de educación académica tan alta y mantener su humildad, NO tiene ningún precio monetario, supera todos los escamas, que orgullo de ser, ser humano bendiciones con mucho respeto muchas bendiciones",POS,POS,0.998779714,"I love the humanity of our astronaut, a man with such a high level of academic education and maintaining his humility, he has NO monetary price, he surpasses all scales, what a pride to be, a human being, blessings with much respect, many blessings",encant human astronaut hombr nivel educ academ tant alto manten humild ningun preci monetari super escam orgull ser ser human bendicion respet much bendicion,0,"Me encanta la humanidad de nuestro astronauta , un hombre con un nivel de educaci ó n acad é mica tan alta y mantener su humildad , NO tiene ning ú n precio monetario , supera todos los escamas , que orgullo de ser , ser humano bendiciones con mucho respeto muchas bendiciones",me encanta la humanidad de nuestro astronauta  un hombre con un nivel de educaci n acad mica tan alta y mantener su humildad  no tiene ning n precio monetario  supera todos los escamas  que orgullo de ser  ser humano bendiciones con mucho respeto muchas bendiciones
2,Astronaut Post,Any Rodríguez,13-04-2024,04:00:29,18,Dos grandes hombres haciendo historia. Gracias por permitirnos sentirnos orgullosos del país,POS,POS,0.998588622,Two great men making history. Thank you for allowing us to feel proud of the country,dos grand hombr hac histori graci permitirn sentir y orgull pais,0,Dos grandes hombres haciendo historia . Gracias por permitirnos sentirnos orgullosos del pa í s,dos grandes hombres haciendo historia  gracias por permitirnos sentirnos orgullosos del pa s
3,Astronaut Post,Sara Cespedes,13-04-2024,08:22:47,136,"Nayib y Frank dos grandes ejemplo de umildad y sabiduría,Desde Sydney Australia una chilena con El Salvador en mi corazón Bendiciones",POS,POS,0.998770297,"Nayib and Frank, two great examples of humility and wisdom, from Sydney Australia, a Chilean with El Salvador in my heart Blessings",nayib frank dos grand ejempl umild sabidur sydney australi chilen salvador corazon bendicion,0,"Nayib y Frank dos grandes ejemplo de umildad y sabidur í a , Desde Sydney Australia una chilena con El Salvador en mi coraz ó n Bendiciones",nayib y frank dos grandes ejemplo de umildad y sabidur a desde sydney australia una chilena con el salvador en mi coraz n bendiciones
4,Astronaut Post,Martha Morales,13-04-2024,03:13:56,70,A Colombia  le falta  un precidente  con este    soy una fiel  seguidoras  del  precidente BUKELE,NEU,POS,0.984937728,"Colombia lacks a precedent with this one, I am a faithful follower of the president BUKELE",colombi falt precident fiel seguidor precident bukel,1,A Colombia le falta un precidente con este soy una fiel seguidoras del precidente BUKELE,a colombia  le falta  un precidente  con este    soy una fiel  seguidoras  del  precidente bukele
5,Astronaut Post,Elenilsom Hernandezz,13-04-2024,04:09:48,17,Grande y orgullo salvadoreño,POS,POS,0.998095691,Great and proud Salvadoran,grand orgull salvadoreñ,0,Grande y orgullo salvadore ñ o,grande y orgullo salvadore o
6,Astronaut Post,Emelina Bonilla,13-04-2024,03:18:50,62,Sin duda dos hombres admirables que nos hacen sentir muy orgullosos a los Salvadoreños  ♥️.,POS,POS,0.998292863,Without a doubt two admirable men who make us Salvadorans feel very proud ♥️.,dud dos hombr admir hac sent orgull salvadoreñ,0,Sin duda dos hombres admirables que nos hacen sentir muy orgullosos a los Salvadore ñ os ♥ ️ .,sin duda dos hombres admirables que nos hacen sentir muy orgullosos a los salvadore os   
7,Astronaut Post,Neto Grimaldi,13-04-2024,03:00:24,73,Dos Personajes triunfadores y Salvadoreños..uno ayudando a USA en la conquista del espacio y otro ayudando a la gente de su Pais en sentirse seguros ...gracias por hacernos sentir orgullosos de ser salvaoreños..a buena hora...may God bless you   both.,POS,POS,0.997821212,Two successful Salvadoran characters...one helping the USA in the conquest of space and the other helping the people of his country to feel safe...thank you for making us feel proud to be Salvadorans...at a good time...may God bless you both.,dos personaj triunfador salvadoreñ ayud usa  conquist espaci ayud gent pai sentir el segur graci hacer y sent orgull ser salvaoreñ buen hor may god bless you both,0,Dos Personajes triunfadores y Salvadore ñ os . . uno ayudando a USA en la conquista del espacio y otro ayudando a la gente de su Pais en sentirse seguros . . . gracias por hacernos sentir orgullosos de ser salvaore ñ os . . a buena hora . . . may God bless you both .,dos personajes triunfadores y salvadore os  uno ayudando a usa en la conquista del espacio y otro ayudando a la gente de su pais en sentirse seguros    gracias por hacernos sentir orgullosos de ser salvaore os  a buena hora   may god bless you   both 
8,Astronaut Post,Leo Scott,13-04-2024,08:54:38,11,Son un orgullo salvadoreño saludos,POS,POS,0.99645257,"You are a Salvadoran pride, greetings",orgull salvadoreñ salud,0,Son un orgullo salvadore ñ o saludos,son un orgullo salvadore o saludos
9,Astronaut Post,Claudia Orellana,13-04-2024,12:05:15,23,El Astronauta Doctor y Coronel Frank Rubio es un orgullo salvadoreño que Dios me lo bendiga I'm so proud of you,POS,POS,0.99838686,"Astronaut Doctor and Colonel Frank Rubio is a proud Salvadoran, may God bless him. I'm so proud of you.",astronaut doctor coronel frank rubi orgull salvadoreñ dios bendig i m so proud of you,0,El Astronauta Doctor y Coronel Frank Rubio es un orgullo salvadore ñ o que Dios me lo bendiga I ' m so proud of you,el astronauta doctor y coronel frank rubio es un orgullo salvadore o que dios me lo bendiga i m so proud of you
